mes_chegada,receita_por_noite
1,49.825406522737715
2,55.440356564019446
3,57.80874058451341
4,78.27677068821399
5,79.10739486311036
6,110.8764457632707
7,155.56046700285026
8,186.98119656371446
9,93.37220038659794
10,62.51561314075333
11,48.68603648424544
12,69.78000382262996
