tipo_quarto,receita_por_noite
A,76.58854375187937
B,104.66666666666667
C,162.1591456736035
D,103.8377885652643
E,114.98841532258065
F,135.990546802595
G,169.03978776529337
H,188.8515692821369
L,124.66666666666667
P,0.0
