intervalo_antecedencia,reserva_cancelada
0-7 dias,7.44624133641372
8-14 dias,16.71481634337598
15-30 dias,25.178571428571427
31-60 dias,30.837613591465825
61-90 dias,34.697217675941076
91+ dias,39.442006269592476
